date,Revenue,Revenue Growth,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Interest Expenses,Non-operating Income/Expense,EBT,Income Tax Provision,Income after Tax,Dividends (Preffered),Net Income Common,EPS (Basic),EPS (Diluted),"Shares (Basic, Weighted)","Shares (Diluted, Weighted)",Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,EBITDA,EBIT,Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,"EPS (Basic, from Continuous Ops)","EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, from Discontinued Ops)","EPS (Basic, Consolidated)","EPS (Diluted, Consolidated)","Shares (Diluted, Average)"
2019-09-30,19980000000.0,-0.2054,16915000000.0,3065000000.0,778000000.0,1001000000.0,1259000000.0,15000000.0,203000000.0,-82000000.0,1177000000.0,10000000.0,1167000000.0,1000000.0,1166000000.0,2.07,2.05,564600000.0,568600000.0,0.1534,0.0638,0.0589,0.0584,1850000000.0,1274000000.0,1167000000.0,-2000000.0,1167000000.0,2.0669999999999997,2.0524,0.0013,0.0013,2.0669999999999997,2.0524,569200000.0
2019-06-30,15751000000.0,-0.3507,17794000000.0,-2043000000.0,826000000.0,672000000.0,-3380000000.0,16000000.0,154000000.0,-47000000.0,-3427000000.0,-485000000.0,-2942000000.0,2000000.0,-2942000000.0,-5.21,-5.21,564700000.0,564700000.0,-0.1297,-0.2136,-0.2176,-0.1868,-2818000000.0,-3364000000.0,-2942000000.0,1000000.0,-2942000000.0,-5.2098,-5.2098,-0.0026,-0.0026,-5.2098,-5.2098,565300000.0
2019-03-31,22917000000.0,-0.0199,18627000000.0,4290000000.0,866000000.0,1184000000.0,2350000000.0,18000000.0,123000000.0,-17000000.0,2333000000.0,184000000.0,2149000000.0,2000000.0,2147000000.0,3.79,3.75,567100000.0,571800000.0,0.1872,0.1033,0.1018,0.0937,2889000000.0,2368000000.0,2149000000.0,0.0,2149000000.0,3.7895,3.7583,0.0,0.0,3.7895,3.7583,572400000.0
2018-12-31,28341000000.0,0.1442,22072000000.0,6269000000.0,852000000.0,1222000000.0,4175000000.0,18000000.0,158000000.0,-129000000.0,4046000000.0,622000000.0,3424000000.0,2000000.0,3422000000.0,6.0,5.93,579200000.0,585500000.0,0.2212,0.1479,0.1428,0.1207,4776000000.0,4193000000.0,3424000000.0,-2000000.0,3424000000.0,5.9727,5.9051,0.0026,0.0026,5.9727,5.9051,577500000.0
2018-09-30,25146000000.0,0.0381,21022000000.0,4124000000.0,826000000.0,1154000000.0,2227000000.0,18000000.0,106000000.0,-94000000.0,2133000000.0,-230000000.0,2363000000.0,3000000.0,2361000000.0,4.11,4.07,574200000.0,580200000.0,0.16399999999999998,0.0893,0.0848,0.0939,2768000000.0,2245000000.0,2363000000.0,0.0,2363000000.0,4.1153,4.0727,-0.0026,-0.0026,4.1153,4.0727,580800000.0
2018-06-30,24258000000.0,0.0524,19519000000.0,4739000000.0,827000000.0,1194000000.0,2710000000.0,17000000.0,109000000.0,-124000000.0,2586000000.0,390000000.0,2196000000.0,2000000.0,2196000000.0,3.77,3.73,581900000.0,588000000.0,0.1954,0.1124,0.1066,0.0905,3234000000.0,2727000000.0,2196000000.0,-1000000.0,2196000000.0,3.7738,3.7347,0.0,0.0,3.7738,3.7347,588700000.0
2018-03-31,23382000000.0,0.0647,18808000000.0,4574000000.0,764000000.0,997000000.0,2875000000.0,16000000.0,102000000.0,-36000000.0,2839000000.0,362000000.0,2477000000.0,2000000.0,2474000000.0,4.19,4.15,590100000.0,596500000.0,0.1956,0.1236,0.1214,0.1058,3392000000.0,2891000000.0,2477000000.0,6000000.0,2477000000.0,4.1976,4.1526,0.013999999999999999,0.013999999999999999,4.1976,4.1526,597200000.0
2017-12-31,24770000000.0,0.1152,19864000000.0,4906000000.0,762000000.0,1205000000.0,2978000000.0,17000000.0,93000000.0,-61000000.0,2917000000.0,-403000000.0,3320000000.0,2000000.0,3318000000.0,5.25,5.18,602500000.0,610000000.0,0.1981,0.1209,0.1178,0.134,3572000000.0,2995000000.0,3320000000.0,4000000.0,3320000000.0,5.5333,5.4627,0.0,0.0,5.5333,5.4627,605100000.0
2017-09-30,24223000000.0,0.0136,19929000000.0,4294000000.0,768000000.0,918000000.0,2630000000.0,27000000.0,87000000.0,-47000000.0,2583000000.0,773000000.0,1810000000.0,-2000000.0,1808000000.0,3.1,3.06,598300000.0,606300000.0,0.1773,0.1097,0.1066,0.0746,3171000000.0,2657000000.0,1810000000.0,-1000000.0,1810000000.0,3.0252,2.9853,-0.0013,-0.0013,3.0252,2.9853,606300000.0
2017-06-30,23051000000.0,-0.0688,18689000000.0,4362000000.0,813000000.0,1043000000.0,2530000000.0,13000000.0,93000000.0,-68000000.0,2462000000.0,713000000.0,1749000000.0,3000000.0,1749000000.0,2.93,2.89,601800000.0,608900000.0,0.1892,0.1103,0.1068,0.0759,3031000000.0,2543000000.0,1749000000.0,-2000000.0,1749000000.0,2.9063,2.8724,-0.0027,-0.0027,2.9063,2.8724,609600000.0
