date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),"Shares (Basic, Weighted)","Shares (Diluted, Weighted)",Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss
2019-09-30,86989000000.0,75408000000.0,11581000000.0,3322000000.0,4079000000.0,4404000000.0,67000000.0,-275000000.0,638000000.0,4129000000.0,331000000.0,3798000000.0,3793000000.0,6.65,2275600000.0,2290600000.0,0.1331,0.0514,0.0475,0.0436,0.0131,6697000000.0,4471000000.0,6.506,0.0013,6.6194,0.0013,6.6194,3798000000.0,-3000000.0,3798000000.0
2019-06-30,92155000000.0,79515000000.0,12640000000.0,3370000000.0,4232000000.0,5372000000.0,70000000.0,-287000000.0,541000000.0,5085000000.0,91000000.0,4994000000.0,4988000000.0,8.69,2285200000.0,2302200000.0,0.1372,0.0591,0.0552,0.0541,0.0891,7615000000.0,5442000000.0,8.5263,-0.0026,8.6677,-0.0026,8.6677,4994000000.0,-1000000.0,4994000000.0
2019-03-31,100662000000.0,81240000000.0,19422000000.0,3371000000.0,4754000000.0,11462000000.0,71000000.0,-364000000.0,496000000.0,11098000000.0,966000000.0,10132000000.0,10126000000.0,17.67,2302400000.0,2325500000.0,0.1929,0.1146,0.1103,0.1006,0.1321,13667000000.0,11533000000.0,17.4708,0.0,17.6513,0.0,17.6513,10132000000.0,-3000000.0,10132000000.0
2018-12-31,101127000000.0,81421000000.0,19706000000.0,3269000000.0,4567000000.0,11987000000.0,69000000.0,-383000000.0,475000000.0,11604000000.0,1144000000.0,10460000000.0,10453000000.0,18.07,2325400000.0,2350200000.0,0.1949,0.1192,0.1147,0.1034,0.135,14170000000.0,12056000000.0,17.8651,0.013999999999999999,18.0594,0.013999999999999999,18.0594,10460000000.0,3000000.0,10460000000.0
2018-09-30,97556000000.0,79213000000.0,18343000000.0,3179000000.0,4550000000.0,10790000000.0,68000000.0,-315000000.0,410000000.0,10475000000.0,119000000.0,10356000000.0,10349000000.0,17.32,2348700000.0,2374700000.0,0.188,0.1113,0.1074,0.1061,0.1408,12966000000.0,10858000000.0,17.4227,0.0114,17.62,0.0114,17.62,10356000000.0,9000000.0,10356000000.0
2018-06-30,96633000000.0,78120000000.0,18513000000.0,3121000000.0,4314000000.0,11193000000.0,77000000.0,-268000000.0,391000000.0,10925000000.0,1122000000.0,9803000000.0,9796000000.0,16.31,2372800000.0,2400800000.0,0.1916,0.1166,0.1131,0.1014,0.13,13369000000.0,11270000000.0,16.3353,0.0127,16.5299,0.0127,16.5299,9803000000.0,8000000.0,9803000000.0
2018-03-31,95426000000.0,77290000000.0,18136000000.0,3107000000.0,4163000000.0,11013000000.0,73000000.0,-212000000.0,375000000.0,10801000000.0,1445000000.0,9356000000.0,9349000000.0,15.47,2392700000.0,2421700000.0,0.1901,0.1162,0.1132,0.098,0.1328,13166000000.0,11086000000.0,15.472999999999999,0.01,15.6624,0.01,15.6624,9356000000.0,7000000.0,9356000000.0
2017-12-31,94005000000.0,76542000000.0,17463000000.0,3179000000.0,4095000000.0,10344000000.0,70000000.0,-237000000.0,360000000.0,10107000000.0,1649000000.0,8458000000.0,8452000000.0,13.64,2416200000.0,2445600000.0,0.1858,0.1108,0.1075,0.0899,0.1231,12461000000.0,10414000000.0,13.8655,-0.0113,14.0381,-0.0113,14.0381,8458000000.0,-1000000.0,8458000000.0
2017-09-30,91446000000.0,74365000000.0,17081000000.0,3142000000.0,3886000000.0,10242000000.0,66000000.0,-734000000.0,346000000.0,9508000000.0,2600000000.0,6908000000.0,6906000000.0,11.02,2449200000.0,2478400000.0,0.1868,0.1127,0.10400000000000001,0.0755,0.1235,12303000000.0,10308000000.0,11.1617,-0.013999999999999999,11.2948,-0.013999999999999999,11.2948,6908000000.0,-5000000.0,6908000000.0
2017-06-30,91121000000.0,74326000000.0,16795000000.0,3231000000.0,3891000000.0,9894000000.0,53000000.0,-766000000.0,340000000.0,9128000000.0,1751000000.0,7377000000.0,7374000000.0,11.56,2475500000.0,2503900000.0,0.1843,0.1092,0.1002,0.0809,0.1181,11902000000.0,9947000000.0,11.7836,-0.0241,11.9183,-0.0241,11.9183,7377000000.0,-6000000.0,7377000000.0
2017-03-31,92825000000.0,77946000000.0,14879000000.0,4545000000.0,3654000000.0,6945000000.0,56000000.0,-758000000.0,320000000.0,6187000000.0,793000000.0,5394000000.0,5391000000.0,8.26,2509000000.0,2530300000.0,0.1603,0.0754,0.0667,0.0581,0.0972,8915000000.0,7001000000.0,8.5429,-0.0314,8.6437,-0.0314,8.6437,5394000000.0,-19000000.0,5394000000.0
2016-12-31,93496000000.0,78967000000.0,14529000000.0,4626000000.0,3613000000.0,6527000000.0,59000000.0,-744000000.0,306000000.0,5783000000.0,749000000.0,5034000000.0,5031000000.0,7.75,2554000000.0,2574700000.0,0.1554,0.0704,0.0619,0.0538,0.0847,8475000000.0,6586000000.0,7.8314,-0.0227,7.9213,-0.0227,7.9213,5034000000.0,-21000000.0,5034000000.0
2016-09-30,94858000000.0,81907000000.0,12951000000.0,4806000000.0,3548000000.0,4812000000.0,61000000.0,-248000000.0,299000000.0,4564000000.0,274000000.0,4290000000.0,4286000000.0,6.64,2605400000.0,2626900000.0,0.1365,0.0514,0.0481,0.0452,0.0848,6721000000.0,4873000000.0,6.5783,-0.03,6.6565,-0.03,6.6565,4290000000.0,-20000000.0,4290000000.0
2016-06-30,96809000000.0,83601000000.0,13208000000.0,4806000000.0,3514000000.0,5110000000.0,63000000.0,-262000000.0,285000000.0,4848000000.0,1133000000.0,3715000000.0,3711000000.0,5.5,2660900000.0,2682900000.0,0.1364,0.0534,0.0501,0.0383,0.0799,6984000000.0,5173000000.0,5.4486,,5.5133,,5.5133,3715000000.0,-23000000.0,3715000000.0
2016-03-31,96597000000.0,82625000000.0,13972000000.0,3479000000.0,3468000000.0,7212000000.0,64000000.0,-262000000.0,287000000.0,6950000000.0,1891000000.0,5059000000.0,5055000000.0,7.48,2715700000.0,2745400000.0,0.1446,0.0753,0.0719,0.0523,0.0826,9093000000.0,7276000000.0,7.4076,,7.4901,,7.4901,5059000000.0,,5059000000.0
